	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
_Toximoron (Other)	1	1	1	1	1	1	1	1	1	5	0	3	1	1	2	2	1	1	0	1	1	1	1	1	1	1	1	1
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	35	25	48	883	15	2533	16	1994	121	2223	10	3533	268	1061	3290	4038	2394	6231	292	1762	8580	4671	183	19	3975	20	803	22
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	78	211	87	9527	115	3369	95	17810	89	7415	86	4012	82	8787	20223	12269	19337	16540	147	20923	18278	8847	117	80	2779	2	5713	3
(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase	0	0	0	0	0	0	1	8	1	13	0	178	1	1	31	121	0	141	1	9	175	105	1	0	95	0	14	0
[Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39)	14	3	4	452	7	24	3	564	83	636	1	66	2	66	196	56	1	1914	8	501	381	322	5	3	114	0	11	0
[NiFe] hydrogenase metallocenter assembly protein HybG	1	4	1	1	1	9	1	1	1	1	1	1	1	1	1	1	1	7	1	1	4	1	1	1	1	1	1	1
[NiFe] hydrogenase metallocenter assembly protein HypC	6	15	3	354	14	952	3	612	6	489	9	40	3	1051	2033	163	1161	224	9	679	740	515	120	3	134	3	438	3
[NiFe] hydrogenase metallocenter assembly protein HypD	7	14	9	267	4	304	4	392	5	272	4	60	4	630	1175	128	631	168	8	404	388	283	94	5	148	1	573	2
[NiFe] hydrogenase metallocenter assembly protein HypE	3	12	2	432	10	515	1	621	5	433	2	63	3	958	1521	167	1075	200	3	564	592	434	77	2	148	1	609	1
[NiFe] hydrogenase metallocenter assembly protein HypF	3	14	3	774	3	464	4	1010	6	740	6	116	5	1410	1515	281	1139	499	6	943	609	802	38	5	335	2	388	0
[NiFe] hydrogenase nickel incorporation protein HybF	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[NiFe] hydrogenase nickel incorporation protein HypA	1	2	2	2	2	9	2	2	4	2	1	2	2	2	2	2	2	2	1	2	2	2	30	2	2	2	2	2
[NiFe] hydrogenase nickel incorporation-associated protein HypB	1	1	1	1	1	1	1	2	5	24	1	3	1	10	2	1	1	1	1	2	2	1	124	2	2	1	1	1
[Protein-PII] uridylyltransferase (EC 2.7.7.59)	0	0	0	0	0	2	0	0	1	1	0	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	892	966	831	2922	1077	895	369	3297	1742	1497	739	2450	423	891	2625	1086	29	3391	216	1710	5032	4207	748	193	1248	777	672	1556
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	8	14	9	446	7	744	7	813	30	817	5	2261	5	280	882	788	1012	1536	80	804	2951	1524	77	7	1148	3	503	3
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	693	566	30	43	366	338	182	214	3737	446	325	1285	252	159	378	468	17	558	75	148	1535	657	92	27	676	374	262	542
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	18	24	14	669	8	1560	13	1455	82	1414	12	2931	10	933	1298	967	2114	2834	141	1202	3140	1737	142	12	1132	5	361	4
1-phosphofructokinase (EC 2.7.1.56)	32338	5137	3570	8027	4569	494	3043	5613	4449	3095	1727	1329	2510	3868	2855	7043	136	2145	115	10778	2165	879	6891	1266	551	2669	1848	4206
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	297	54	80	6230	25	1052	29	13973	4692	1266	23	9684	23	1354	8585	2110	27	5037	143	8370	22382	12424	395	26	1701	10	3394	10
1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)	3	2068	174	110	1205	205	5	61	12	103	771	475	864	50	123	256	3	344	35	44	525	265	455	4	207	1911	366	1745
16 kDa heat shock protein A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
16 kDa heat shock protein B	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
16S rRNA processing protein RimM	2324	1604	2000	5077	3751	6763	1387	7965	1853	10069	1287	6192	607	4901	3194	3944	3819	6175	278	4390	12162	5269	2595	1224	3273	727	4187	645
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	33	75	53	411	31	1763	22	731	337	1149	28	6197	48	919	2396	1296	23	3427	242	921	6824	3764	144	34	1523	3	1133	3
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	29	31	9788	3677	13225	1351	5493	4222	55	2715	99	1080	17	1811	2217	1240	2082	2854	101	3694	3048	1708	4625	38	1061	256	1398	127
2-aminoethylphosphonate uptake and metabolism regulator	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
